Person,Source,Kind,Country,Title,Date,URL,Question Page Number,Question Text,N,Proportion,Relavent_N,Note,Exact Sample,JA Annot,AP Annot,Init Disagree,Final,Eligible Q ,Eligible Q Page Number,Eligible Possible N,Eligible Proportion,Eligible Flag (+1 means use),Eligible Comments
JA,Consumer Reports,Nationally representative,USA,"A.I. CHATBOTS
TWO CONSUMER REPORTS NATIONALLY REPRESENTATIVE PHONE AND
INTERNET SURVEYS: AUGUST AND NOVEMBER 2023",8/11/2023,https://advocacy.consumerreports.org/wp-content/uploads/2024/01/CR-Report_AI-chatbot-surveys_1.31.24-1.pdf,5,"Which, if any, of the following have you used an AI chatbot to do? [Have a conversation with someone]",639,0.13,83.07,"They didn't provide the exact estimate of N, but rather said the base was respondents who used a chatbot in the last three months. The prevalence question has that 69% of respondents did not use a chatbot in the last month, so then 31% of 2062 is 639",LLMs,1,1,0,1,"""Which, if any, of the following AI chatbots have you used in the past three months?""",4,2062,0.31,1,
JA,Consumer Reports,Nationally representative,USA,"A.I. CHATBOTS
TWO CONSUMER REPORTS NATIONALLY REPRESENTATIVE PHONE AND
INTERNET SURVEYS: AUGUST AND NOVEMBER 2023",8/11/2023,https://advocacy.consumerreports.org/wp-content/uploads/2024/01/CR-Report_AI-chatbot-surveys_1.31.24-1.pdf,5,"Which, if any, of the following have you used an AI chatbot to do? [Come up with ideas not for a work or school task, like plans for a six-year-old's birthday party, gift ideas for a boss's retirement, and so on]",639,0.17,108.63,"They didn't provide the exact estimate of N, but rather said the base was respondents who used a chatbot in the last three months. The prevalence question has that 69% of respondents did not use a chatbot in the last month, so then 31% of 2062 is 639",LLMs,1,1,0,1,"""Which, if any, of the following AI chatbots have you used in the past three months?""",4,2062,0.31,1,
JA,Consumer Reports,Nationally representative,USA,"A.I. CHATBOTS
TWO CONSUMER REPORTS NATIONALLY REPRESENTATIVE PHONE AND
INTERNET SURVEYS: AUGUST AND NOVEMBER 2023",8/11/2023,https://advocacy.consumerreports.org/wp-content/uploads/2024/01/CR-Report_AI-chatbot-surveys_1.31.24-1.pdf,5,"Which, if any, of the following have you used an AI chatbot to do? [Get recommendations, such as what TV show to watch next, where to go eat, what to buy, and so on]",639,0.13,83.07,"They didn't provide the exact estimate of N, but rather said the base was respondents who used a chatbot in the last three months. The prevalence question has that 69% of respondents did not use a chatbot in the last month, so then 31% of 2062 is 639",LLMs,1,1,0,1,"""Which, if any, of the following AI chatbots have you used in the past three months?""",4,2062,0.31,1,
JA,Rutgers,Nationally representative,USA,"NATIONAL AI OPINION MONITOR:
PUBLIC AWARENESS AND USE OF AI TOOLS
DECEMBER 2024",10/25/2024,https://naiom.net/public-reports/NAIOM%20Report%2001%20AI%20Use%202024.pdf,8,Have you used these tools or services to ask questions or get information on the following topics? [Please select all that apply for each respondent who reported using each service] [Personal Issues],"4,767",0.4625,2204.7375,"They did not provide a single estimate. It was broken out by service: ChatGPT: 53%
Google Gemini: 50%
Microsoft Copilot: 48%
Claude: 41%
Perplexity: 46%. We took the mean of these as the proportion",Generative AI,1,1,0,1,"""[For any AI tools selected] How often have you used the following tools or services?""",5,4767,0.53,1,
JA,Rutgers,Nationally representative,USA,"NATIONAL AI OPINION MONITOR:
PUBLIC AWARENESS AND USE OF AI TOOLS
DECEMBER 2024",10/25/2024,https://naiom.net/public-reports/NAIOM%20Report%2001%20AI%20Use%202024.pdf,8,Have you used these tools or services to ask questions or get information on the following topics? [Please select all that apply for each respondent who reported using each service] [Current affairs],"4,767",0.34,1620.78,"They did not provide a single estimate. It was broken out by service: ChatGPT: 29%
Google Gemini: 34%
Microsoft Copilot: 34%
Claude: 38%
Perplexity: 35%. We took the mean of these as the proportion",Generative AI,1,0,1,1,"""[For any AI tools selected] How often have you used the following tools or services?""",5,4767,0.53,1,
JA,Rutgers,Nationally representative,USA,"NATIONAL AI OPINION MONITOR:
PUBLIC AWARENESS AND USE OF AI TOOLS
DECEMBER 2024",10/25/2024,https://naiom.net/public-reports/NAIOM%20Report%2001%20AI%20Use%202024.pdf,8,Have you used these tools or services to ask questions or get information on the following topics? [Please select all that apply for each respondent who reported using each service] [Health],"4,767",0.356,1697.052,"They did not provide a single estimate. It was broken out by service: ChatGPT: 34%
Google Gemini: 35%
Microsoft Copilot: 34%
Claude: 38%
Perplexity: 37%. We took the mean of these as the proportion",Generative AI,1,1,0,1,"""[For any AI tools selected] How often have you used the following tools or services?""",5,4767,0.53,1,
JA,Rutgers,Nationally representative,USA,"NATIONAL AI OPINION MONITOR:
PUBLIC AWARENESS AND USE OF AI TOOLS
DECEMBER 2024",10/25/2024,https://naiom.net/public-reports/NAIOM%20Report%2001%20AI%20Use%202024.pdf,8,Have you used these tools or services to ask questions or get information on the following topics? [Please select all that apply for each respondent who reported using each service] [Politics],"4,767",0.276,1315.692,"They did not provide a single estimate. It was broken out by service: ChatGPT: 29%
Google Gemini: 28%
Microsoft Copilot: 27%
Claude: 22%
Perplexity: 32%. We took the mean of these as the proportion",Generative AI,1,1,0,1,"""[For any AI tools selected] How often have you used the following tools or services?""",5,4767,0.53,1,
JA,NBER,Nationally representative of workers,USA,"The Rapid Adoption of Generative AI
",8/15/2024,https://www.nber.org/papers/w32966,"NA, direct correspondence","Manuscript says ""Employed respondents who used genAI were first provided with a list of tasks and asked to select those that they had used genAI to help with last week"" [Support With Customers/Coworkers]","4,698",0.2992124,1405.699855,The manuscript only reports the share of respondents wo said a task was most helpful. We recieved the raw prevalence (share of respondents who used genai for a task in the last week) by direct correspondence with Dr Bick on June 17 2025.,Generative AI,1,1,0,1,"""Do you use Generative AI for your job? ” or the question “Do you use Generative AI [outside your job] ”?",11,9742,0.396,1,
JA,NBER,Nationally representative of workers,USA,"The Rapid Adoption of Generative AI
",8/15/2024,https://www.nber.org/papers/w32966,"NA, direct correspondence","Manuscript says ""Employed respondents who used genAI were first provided with a list of tasks and asked to select those that they had used genAI to help with last week"" [Tutoring or Educational Assistance]","4,698",0.2482513,1166.284607,The manuscript only reports the share of respondents wo said a task was most helpful. We recieved the raw prevalence (share of respondents who used genai for a task in the last week) by direct correspondence with Dr Bick on June 17 2025.,Generative AI,1,0,1,1,"""Do you use Generative AI for your job? ” or the question “Do you use Generative AI [outside your job] ”?",11,9742,0.396,1,
JA,Elon University,Nationally representative of LLM users,USA,"Close encounters of the AI kind
Methodology and Topline Findings",1/1/2025,https://imaginingthedigitalfuture.org/wp-content/uploads/2025/03/ITDF-LLM-Report-topline-3-12-25.pdf,3,Do you ever use specialized language models that focus on these kinds of activities [Pursuing lifestyle and hobby activities],500,0.66,330,"This question asks about using ""specialized language models"" to do X, meaning it is a subset of all people who used any LLM to do X",LLMs,1,1,0,1,"""Do you ever use artificial intelligence (AI) large language models (also known as LLMs orgenerative AI), such as ChatGPT, Google’s Gemini, Anthropic’s Claude, Microsoft’s Copilot or an open sourceLLM?""",1,500,0.52,1,
